date,accum,temp_min,temp_max,wind
3/16/2015,0,27.39,45.22,7.69
3/17/2015,0,30.21,49.98,8.86
3/18/2015,0,23.07,29.41,21.47
3/19/2015,0,18.84,32.86,15.51
3/20/2015,0.263,22.51,31.74,0.63
3/23/2015,0,18.49,32.12,13.72
3/24/2015,0,19.14,34.12,1.73
3/25/2015,0,26.24,46.04,5.54
3/26/2015,0,37.92,52.72,6.23
3/27/2015,0,38.66,43.38,4.2
3/30/2015,0,31.48,43.89,10.52
3/31/2015,0,36.71,48.06,9.87
4/1/2015,0,30.67,45.73,9.03
4/2/2015,0,31.42,58.27,9.77
4/3/2015,0,50.26,58.1,10.38
4/6/2015,0,36.18,42.43,3.13
4/7/2015,0,38.19,40.57,7.15
4/8/2015,0,35.23,39.2,12.27
4/9/2015,0,33.76,36.9,14.33
4/10/2015,0,36.42,54.55,3.95
4/13/2015,0,44.45,68.31,9.92
4/14/2015,0,54.76,64.89,8.83
4/15/2015,0,48.32,63.91,9.53
4/16/2015,0,41.42,58.14,3.59
4/17/2015,0,48.27,62.96,9.97
4/20/2015,0,41.36,51.58,11.69
4/21/2015,0,48.59,63.49,3.49
4/22/2015,0,45.87,66.11,11.48
4/23/2015,0,40.35,51.16,13.43
4/24/2015,0,37.37,49.29,14.14
4/27/2015,0,47.16,55.57,9.25
4/28/2015,0,43.57,60.89,9.85
4/29/2015,0,48.95,53.82,1.69
4/30/2015,0,45.87,53.66,5.16
5/1/2015,0,41.62,47.91,6.38
5/4/2015,0,50.54,80.6,11.01
5/5/2015,0,56.95,70.71,4.47
5/6/2015,0,55.85,72.13,2.29
5/7/2015,0,54.69,79.09,6.23
5/8/2015,0,46.48,67.81,4.85
5/11/2015,0,50.99,74.86,2.08
5/12/2015,0,48.97,82.28,1.84
5/13/2015,0,53.55,64.88,11.79
5/14/2015,0,48.97,66.62,1.76
5/15/2015,0,51.56,64.83,2.21
5/18/2015,0,49.77,57.03,8
5/19/2015,0,52.72,64.84,8.18
5/20/2015,0,53.08,64.51,12.46
9/1/2015,0,68.81,76.71,1.91
9/2/2015,0,66.79,88.54,7.39
9/3/2015,0,70.94,82.53,0.86
9/4/2015,0,62.37,72.92,9.91
