Year,Month,Total,BPD,BFD,EMS
2013,3,2646,2109,184,353
2013,3,2430,1887,177,366
2013,3,2903,2298,209,396
2013,3,2820,2218,201,401
2013,3,3003,2359,225,419
2013,3,3105,2439,249,417
2013,3,3047,2454,193,400
2013,3,2851,2273,186,392
2013,3,2303,1772,186,345
2013,4,2876,2278,220,378
2013,4,2901,2290,233,378
2013,4,2938,2324,203,411
2013,4,3019,2342,242,435
2013,4,3043,2416,239,388
2013,4,2788,2131,235,422
2013,4,2541,1968,212,361
2013,4,3044,2395,238,411
2013,4,3034,2372,239,423
2013,4,2960,2344,199,417
2013,4,2898,2268,243,387
2013,4,2850,2313,184,353
2013,4,2698,2151,192,355
2013,4,2604,2000,202,402
2013,4,2883,2051,308,524
2013,4,2747,2161,225,361
2013,4,2813,2154,224,435
2013,4,2680,2116,183,381
2013,4,2735,2075,235,425
2013,4,2582,1983,218,381
2013,4,2393,1802,188,403
2013,4,2765,2151,226,388
2013,4,2612,2010,207,395
2013,4,2817,2197,210,410
2013,4,2897,2273,213,411
2013,4,3087,2413,221,453
2013,4,2868,2228,231,409
2013,4,2627,2006,245,376
2013,4,2857,2253,229,375
2013,4,3035,2371,265,399
2013,5,3119,2479,242,398
2013,5,2999,2347,238,414
2013,5,3174,2515,249,410
2013,5,2902,2255,223,424
2013,5,2477,1881,216,380
2013,5,3051,2431,252,368
2013,5,3235,2528,283,424
2013,5,2974,2307,240,427
2013,5,2912,2247,234,431
2013,5,3229,2525,234,470
2013,5,2989,2253,268,468
2013,5,2694,2108,191,395
2013,5,3161,2509,248,404
2013,5,3024,2367,236,421
