patent_number,patent_title,patent_date,patent_num_claims,patent_num_combined_citations,inventor_last_name,inventor_first_name,assignee_organization
4670668,Substrate bias generator with power supply control means to sequence application of bias and power to prevent CMOS SCR latch-up,1987-06-02,17,10,Liu,Wei-Ti,"Advanced Micro Devices, Inc."
4670671,High speed comparator having controlled hysteresis,1987-06-02,11,2,De Weck,Lionel M.,"Advanced Micro Devices, Inc."
4670673,Multilevel differential ECL/CML gate circuit,1987-06-02,16,7,Varadarajan,Hemmige D.,"Advanced Micro Devices, Inc."
4670675,High gain sense amplifier for small current differential,1987-06-02,17,4,Donoghue,William J.,"Advanced Micro Devices, Inc."
4670714,Programmable output polarity device,1987-06-02,17,3,Garrett,Marc S.,"Advanced Micro Devices, Inc."
4670861,CMOS N-well bias generator and gating system,1987-06-02,11,4,Kao,Chao-Ven,"Advanced Micro Devices, Inc."
4672241,High voltage isolation circuit for CMOS networks,1987-06-09,7,2,Venkatesh,Bhimachar,"Advanced Micro Devices, Inc."
4672242,Reduced power/temperature controlled TTL tri-state buffer utilizing three phase splitter transistors,1987-06-09,20,7,Teymouri,Sassan,"Advanced Micro Devices, Inc."
4672420,"Integrated circuit structure having conductive, protective layer for multilayer metallization to permit reworking",1987-06-09,6,2,Thomas,Mammen,"Advanced Micro Devices, Inc."
4672568,Method for digital voltage controlled oscillator,1987-06-09,4,5,Taylor,David M.,"Advanced Micro Devices, Inc."
4672580,Memory cell providing simultaneous non-destructive access to volatile and non-volatile data,1987-06-09,22,5,Maltiel,Ron,"Advanced Micro Devices, Inc."
4672670,"Apparatus and methods for coding, decoding, analyzing and synthesizing a signal",1987-06-09,43,3,Wang,Bu-Chin,"Advanced Micro Devices, Inc."
4675612,Apparatus for synchronization of a first signal with a second signal,1987-06-23,9,6,Clapp,Craig,"Advanced Micro Devices, Inc."
4677589,Dynamic random access memory cell having a charge amplifier,1987-06-30,6,2,Sander,Craig S.,"Advanced Micro Devices, Inc."
4678940,TTL compatible merged bipolar/CMOS output buffer circuits,1987-07-07,25,5,Vasseghi,Nader,"Advanced Micro Devices, Inc."
4678944,Circuit for improving performance of an ECL-to-TTL translator,1987-07-07,12,3,Williams,Bertrand J.,"Advanced Micro Devices, Inc."
4679310,Method of making improved metal silicide fuse for integrated circuit structure,1987-07-14,15,10,Bhatt,Kiran M.,"Advanced Micro Devices, Inc."
4680738,Memory with sequential mode,1987-07-14,11,2,Tam,Aloysius T.,"Advanced Micro Devices, Inc."
4682143,Thin film chromium-silicon-carbon resistor,1987-07-21,11,9,Chu,John W.,"Advanced Micro Devices, Inc."
4682409,Fast bipolar transistor for integrated circuit structure and method for forming same,1987-07-28,7,3,Weinberg,Matthew,"Advanced Micro Devices, Inc."
4683023,Tape attach machine,1987-07-28,7,7,Sokolovsky,Paul J.,"Advanced Micro Devices, Inc."
4686452,Reference-voltage source for replicating a terminal voltage of a saturated transistor,1987-08-11,18,3,Wong,Thomas S.,"Advanced Micro Devices, Inc."
4686481,Phase detector apparatus including charge pump means,1987-08-11,21,6,Adams,Neil R.,"Advanced Micro Devices, Inc."
