accum,min,max,wind,yesterdays_high,closed
500,0.0,52.59,64.09,2.49,63.87,0
501,0.0,53.19,66.78,1.36,64.09,0
502,0.0,54.28,71.2,4.9,66.78,0
503,0.0,46.8,56.86,6.25,71.2,0
505,0.0,49.42,70.43,5.94,71.58,0
506,0.0,53.86,63.65,5.53,70.43000000000002,0
507,0.0,54.08,60.75,6.06,63.65,0
508,0.0,54.74,67.33,4.41,60.75,0
510,0.0,55.87,57.5,8.93,71.66,0
511,0.0,56.94,57.64,13.13,57.5,0
512,0.0,52.24,56.77,12.11,57.64,0
513,0.0,49.32,55.92,7.14,56.77,0
515,0.0,55.36,72.14,11.92,64.91,0
516,0.0,60.46,71.53,9.93,72.14,0
517,0.0,50.69,65.39,10.71,71.53,0
518,0.0,50.01,62.78,8.99,65.39,0
520,0.0,62.95,78.58,8.96,75.79999999999998,0
521,0.0,62.62,70.31,9.01,78.58,0
522,0.0,59.97,71.42,8.86,70.31,0
524,0.0,49.99,60.05,3.81,56.49,0
525,0.0,50.85,54.95,18.85,60.05,0
526,0.0,50.46,54.55,20.63,54.95,0
527,0.0,48.12,52.88,10.94,54.55,0
529,0.0,45.74,60.71,2.79,62.13,0
530,0.0,53.28,72.09,4.64,60.71,0
531,0.0,46.62,57.53,7.45,72.09,0
532,0.0,45.35,51.19,8.54,57.53,0
534,0.0,44.8,56.18,4.27,52.08,0
535,0.0,49.48,65.3,7.36,56.18,0
536,0.0,47.77,50.66,2.15,65.3,0
537,0.0,39.9,48.95,13.54,50.66,0
540,0.0,38.97,48.0,4.64,58.26,0
541,0.0,34.01,42.57,9.75,48.0,0
543,0.0,27.76,43.61,14.32,47.01,0
544,0.0,24.15,36.44,12.37,43.61,0
545,0.0,31.44,47.47,10.97,36.44,0
546,0.0,27.87,35.7,14.16,47.47,0
548,0.0,48.53,61.95,9.91,65.06,0
549,0.0,34.08,48.76,10.06,61.95,0
552,0.0,33.51,40.03,8.93,62.05,0
553,0.0,36.88,51.07,6.27,40.03,0
554,0.0,30.31,43.09,8.1,51.07,0
555,0.0,26.4,40.47,4.5,43.09,0
557,0.0,29.35,48.99,15.43,27.51,0
558,0.0,38.2,47.62,9.47,48.99,0
559,0.0,32.35,38.59,11.35,47.62,0
560,0.0,31.27,38.12,8.73,38.59,0
562,0.0,35.49,43.6,0.99,40.18,0
563,0.0,42.05,47.34,7.94,43.6,0
564,0.0,36.35,43.09,13.03,47.34,0
565,0.0,29.04,37.2,9.97,43.09,0
567,0.0,17.08,37.23,12.87,29.97,0
569,0.0,21.91,32.06,4.41,37.3,0
570,0.0,29.6,36.07,4.38,32.06,0
571,0.0,23.56,36.74,8.37,36.07,0
573,10.809000000000001,14.73,19.46,21.98,27.37,1
574,0.09300000000000001,13.42,24.0,12.41,19.46,1
575,0.0,12.69,30.89,1.35,24.0,0
576,0.253,20.64,33.49,4.91,30.89,0
578,0.07,7.04,22.24,10.8,28.64,0
579,0.08,14.31,38.19,9.84,22.24,0
580,0.359,9.33,36.56,11.47,38.19,0
581,0.0,4.59,20.85,9.23,36.56,0
583,6.0729999999999995,15.72,30.64,12.0,21.59,1
584,0.0,18.7,25.35,11.05,30.64,0
585,0.19,16.43,28.87,4.17,25.35,0
586,0.0,5.89,22.5,14.83,28.87,0
588,0.036000000000000004,18.4,27.98,4.07,23.65,0
589,0.3,11.86,27.69,12.71,27.98,0
590,0.0,5.71,18.22,17.28,27.69,0
592,0.0,0.97,18.43,5.09,31.94,0
593,0.565,15.75,34.77,9.74,18.43,0
594,0.192,18.23,22.59,7.94,34.77,0
595,0.0,13.39,26.03,7.69,22.59,0
597,1.11,16.17,30.2,5.09,35.69,0
598,0.0,32.31,42.88,10.15,30.2,0
599,0.2,19.99,38.72,10.14,42.88,0
600,0.0,9.39,24.94,3.68,38.72,0
602,0.0,28.88,47.22,6.47,44.93,0
603,0.0,40.37,57.21,8.92,47.22,0
604,0.0,28.15,43.4,15.34,57.21,0
605,0.0,24.05,40.36,5.47,43.4,0
607,0.0,30.21,49.98,8.86,45.22,0
608,0.0,23.07,29.41,21.47,49.98,0
609,0.0,18.84,32.86,15.51,29.41,0
610,0.263,22.51,31.74,0.63,32.86,0
612,0.0,19.14,34.12,1.73,32.12,0
613,0.0,26.24,46.04,5.54,34.12,0
614,0.0,37.92,52.72,6.23,46.04,0
615,0.0,38.66,43.38,4.2,52.72,0
617,0.0,36.71,48.06,9.87,43.89,0
618,0.0,30.67,45.73,9.03,48.06,0
619,0.0,31.42,58.27,9.77,45.73,0
620,0.0,50.26,58.1,10.38,58.27,0
622,0.0,38.19,40.57,7.15,42.43,0
623,0.0,35.23,39.2,12.27,40.57,0
624,0.0,33.76,36.9,14.33,39.2,0
625,0.0,36.42,54.55,3.95,36.9,0
627,0.0,54.76,64.89,8.83,68.31,0
628,0.0,48.32,63.91,9.53,64.89,0
629,0.0,41.42,58.14,3.59,63.91,0
630,0.0,48.27,62.96,9.97,58.14,0
632,0.0,48.59,63.49,3.49,51.58,0
633,0.0,45.87,66.11,11.48,63.49,0
634,0.0,40.35,51.16,13.43,66.11,0
635,0.0,37.37,49.29,14.14,51.16,0
637,0.0,43.57,60.89,9.85,55.57,0
638,0.0,48.95,53.82,1.69,60.89,0
639,0.0,45.87,53.66,5.16,53.82,0
640,0.0,41.62,47.91,6.38,53.66,0
642,0.0,56.95,70.71,4.47,80.59999999999998,0
643,0.0,55.85,72.13,2.29,70.71,0
644,0.0,54.69,79.09,6.23,72.12999999999998,0
645,0.0,46.48,67.81,4.85,79.09,0
647,0.0,48.97,82.28,1.84,74.86,0
648,0.0,53.55,64.88,11.79,82.28,0
649,0.0,48.97,66.62,1.76,64.88,0
650,0.0,51.56,64.83,2.21,66.62,0
652,0.0,52.72,64.84,8.18,57.03,0
653,0.0,53.08,64.51,12.46,64.84,0
655,0.0,66.79,88.54,7.39,76.70999999999998,0
656,0.0,70.94,82.53,0.86,88.54,0
657,0.0,62.37,72.92,9.91,82.53,0
659,0.0,73.13,90.44,10.94,92.65,0
660,0.0,65.27,77.18,5.99,90.44,0
661,0.0,62.69,71.0,8.45,77.18,0
663,0.0,61.1,81.51,9.59,71.23,0
664,0.0,65.32,78.39,2.09,81.51,0
665,0.0,64.37,87.2,6.27,78.39,0
666,0.0,65.7,84.47,5.54,87.2,0
668,0.0,57.21,66.08,7.92,64.03,0
669,0.0,53.5,66.94,2.77,66.08,0
670,0.0,58.56,70.85,5.72,66.94,0
671,0.0,55.6,63.91,6.92,70.85,0
673,0.0,64.35,80.32,8.22,76.48999999999998,0
674,0.0,62.71,76.17,2.35,80.31999999999998,0
675,0.0,54.29,59.07,13.66,76.17,0
676,0.0,50.47,54.15,17.88,59.07,0
678,0.0,47.54,63.18,3.23,58.52,0
679,0.0,50.76,69.71,5.74,63.18,0
680,0.0,52.18,60.48,2.02,69.71,0
681,0.0,52.27,69.39,11.16,60.48,0
683,0.0,54.16,66.11,10.41,70.14,0
684,0.0,46.19,60.52,6.03,66.11,0
685,0.0,49.68,60.24,9.48,60.52,0
